idx,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24
30,68.26923076923077,68.26923076923077,73.07692307692308,69.23076923076923,73.07692307692308,72.11538461538461,70.1923076923077,69.23076923076923,71.15384615384616,75.0,69.23076923076923,72.11538461538461,75.96153846153847,74.03846153846153,74.03846153846153,75.96153846153847,73.07692307692308,75.0,70.1923076923077,74.03846153846153,73.07692307692308,69.23076923076923,71.15384615384616,74.03846153846153,72.11538461538461
31,71.0,68.0,73.0,71.0,75.0,76.0,74.0,76.0,75.0,76.0,77.0,74.0,75.0,77.0,77.0,78.0,75.0,78.0,76.0,79.0,78.0,77.0,75.0,75.0,78.0
32,57.7319587628866,60.824742268041234,59.79381443298969,61.855670103092784,60.824742268041234,61.855670103092784,62.88659793814433,63.91752577319588,60.824742268041234,62.88659793814433,62.88659793814433,61.855670103092784,63.91752577319588,64.94845360824742,63.91752577319588,62.88659793814433,62.88659793814433,65.97938144329896,67.01030927835052,64.94845360824742,68.04123711340206,63.91752577319588,63.91752577319588,61.855670103092784,59.79381443298969
33,67.6470588235294,69.6078431372549,74.50980392156863,74.50980392156863,75.49019607843137,75.49019607843137,76.47058823529412,76.47058823529412,74.50980392156863,74.50980392156863,75.49019607843137,74.50980392156863,75.49019607843137,75.49019607843137,74.50980392156863,76.47058823529412,75.49019607843137,78.43137254901961,74.50980392156863,76.47058823529412,77.45098039215686,73.52941176470588,75.49019607843137,71.56862745098039,72.54901960784314
34,66.66666666666667,67.6470588235294,66.66666666666667,67.6470588235294,68.62745098039215,69.6078431372549,69.6078431372549,70.58823529411765,66.66666666666667,69.6078431372549,69.6078431372549,70.58823529411765,72.54901960784314,69.6078431372549,67.6470588235294,68.62745098039215,66.66666666666667,72.54901960784314,66.66666666666667,68.62745098039215,66.66666666666667,65.68627450980392,61.76470588235294,67.6470588235294,66.66666666666667
35,71.0,75.0,77.0,78.0,77.0,79.0,80.0,83.0,81.0,82.0,77.0,79.0,81.0,78.0,84.0,80.0,81.0,83.0,78.0,80.0,80.0,79.0,78.0,80.0,78.0
36,78.78787878787878,79.79797979797979,74.74747474747475,80.8080808080808,77.77777777777777,79.79797979797979,73.73737373737374,76.76767676767676,74.74747474747475,73.73737373737374,78.78787878787878,74.74747474747475,76.76767676767676,77.77777777777777,75.75757575757575,75.75757575757575,71.71717171717172,76.76767676767676,75.75757575757575,74.74747474747475,72.72727272727273,74.74747474747475,77.77777777777777,77.77777777777777,76.76767676767676
37,70.9090909090909,72.72727272727273,71.81818181818181,74.54545454545455,77.27272727272727,72.72727272727273,74.54545454545455,72.72727272727273,75.45454545454545,75.45454545454545,70.0,74.54545454545455,70.9090909090909,74.54545454545455,72.72727272727273,78.18181818181819,74.54545454545455,72.72727272727273,74.54545454545455,74.54545454545455,75.45454545454545,70.9090909090909,73.63636363636364,75.45454545454545,75.45454545454545
38,75.49019607843137,75.49019607843137,78.43137254901961,80.3921568627451,79.41176470588235,72.54901960784314,76.47058823529412,77.45098039215686,81.37254901960785,76.47058823529412,77.45098039215686,75.49019607843137,79.41176470588235,80.3921568627451,76.47058823529412,76.47058823529412,74.50980392156863,78.43137254901961,77.45098039215686,78.43137254901961,79.41176470588235,79.41176470588235,75.49019607843137,77.45098039215686,80.3921568627451
39,71.0,75.0,76.0,77.0,76.0,78.0,75.0,77.0,80.0,79.0,76.0,76.0,80.0,79.0,79.0,77.0,77.0,79.0,77.0,79.0,79.0,79.0,79.0,76.0,74.0
40,78.02197802197803,78.02197802197803,81.31868131868131,82.41758241758242,85.71428571428571,84.61538461538461,83.51648351648352,82.41758241758242,84.61538461538461,86.81318681318682,82.41758241758242,86.81318681318682,82.41758241758242,83.51648351648352,82.41758241758242,85.71428571428571,84.61538461538461,85.71428571428571,80.21978021978022,80.21978021978022,76.92307692307692,82.41758241758242,78.02197802197803,84.61538461538461,75.82417582417582
41,66.66666666666667,67.74193548387096,67.74193548387096,63.44086021505376,66.66666666666667,66.66666666666667,68.81720430107526,65.59139784946237,66.66666666666667,66.66666666666667,67.74193548387096,67.74193548387096,64.51612903225806,66.66666666666667,67.74193548387096,68.81720430107526,64.51612903225806,68.81720430107526,66.66666666666667,67.74193548387096,65.59139784946237,72.04301075268818,68.81720430107526,69.89247311827957,66.66666666666667
42,83.33333333333333,84.25925925925925,83.33333333333333,83.33333333333333,82.4074074074074,81.48148148148148,83.33333333333333,83.33333333333333,85.18518518518519,80.55555555555556,82.4074074074074,84.25925925925925,81.48148148148148,82.4074074074074,83.33333333333333,83.33333333333333,82.4074074074074,82.4074074074074,79.62962962962963,84.25925925925925,80.55555555555556,81.48148148148148,83.33333333333333,81.48148148148148,81.48148148148148
43,65.625,66.66666666666667,67.70833333333333,73.95833333333333,73.95833333333333,72.91666666666667,78.125,75.0,72.91666666666667,73.95833333333333,72.91666666666667,73.95833333333333,71.875,77.08333333333333,77.08333333333333,72.91666666666667,72.91666666666667,73.95833333333333,75.0,72.91666666666667,76.04166666666667,72.91666666666667,76.04166666666667,76.04166666666667,72.91666666666667
44,68.04123711340206,72.16494845360825,73.19587628865979,73.19587628865979,71.1340206185567,72.16494845360825,73.19587628865979,78.35051546391753,71.1340206185567,77.31958762886597,74.22680412371135,71.1340206185567,74.22680412371135,76.28865979381443,76.28865979381443,73.19587628865979,76.28865979381443,73.19587628865979,74.22680412371135,76.28865979381443,72.16494845360825,71.1340206185567,72.16494845360825,72.16494845360825,73.19587628865979
45,73.07692307692308,74.03846153846153,80.76923076923077,78.84615384615384,79.8076923076923,80.76923076923077,82.6923076923077,78.84615384615384,81.73076923076923,77.88461538461539,81.73076923076923,81.73076923076923,81.73076923076923,84.61538461538461,77.88461538461539,85.57692307692308,82.6923076923077,84.61538461538461,84.61538461538461,85.57692307692308,84.61538461538461,82.6923076923077,83.65384615384616,82.6923076923077,82.6923076923077
46,72.38095238095238,77.14285714285714,73.33333333333333,75.23809523809524,73.33333333333333,76.19047619047619,74.28571428571429,76.19047619047619,71.42857142857143,74.28571428571429,73.33333333333333,74.28571428571429,70.47619047619048,73.33333333333333,79.04761904761905,74.28571428571429,74.28571428571429,78.0952380952381,72.38095238095238,74.28571428571429,71.42857142857143,71.42857142857143,76.19047619047619,72.38095238095238,70.47619047619048
47,76.47058823529412,80.3921568627451,82.3529411764706,82.3529411764706,85.29411764705883,81.37254901960785,81.37254901960785,81.37254901960785,81.37254901960785,80.3921568627451,83.33333333333333,79.41176470588235,83.33333333333333,84.31372549019608,82.3529411764706,83.33333333333333,81.37254901960785,80.3921568627451,81.37254901960785,82.3529411764706,81.37254901960785,79.41176470588235,80.3921568627451,79.41176470588235,80.3921568627451
48,69.81132075471699,71.69811320754717,73.58490566037736,70.75471698113208,77.35849056603773,75.47169811320755,75.47169811320755,78.30188679245283,76.41509433962264,79.24528301886792,75.47169811320755,69.81132075471699,74.52830188679245,77.35849056603773,76.41509433962264,77.35849056603773,77.35849056603773,80.18867924528301,73.58490566037736,77.35849056603773,75.47169811320755,72.64150943396227,76.41509433962264,78.30188679245283,79.24528301886792
49,73.7864077669903,78.64077669902913,78.64077669902913,77.66990291262135,82.52427184466019,80.58252427184466,79.6116504854369,79.6116504854369,74.75728155339806,81.55339805825243,77.66990291262135,80.58252427184466,75.72815533980582,77.66990291262135,76.69902912621359,76.69902912621359,74.75728155339806,77.66990291262135,79.6116504854369,75.72815533980582,77.66990291262135,77.66990291262135,76.69902912621359,79.6116504854369,77.66990291262135
50,73.19587628865979,75.25773195876289,78.35051546391753,77.31958762886597,78.35051546391753,79.38144329896907,82.47422680412372,79.38144329896907,81.44329896907216,78.35051546391753,81.44329896907216,81.44329896907216,79.38144329896907,81.44329896907216,78.35051546391753,78.35051546391753,81.44329896907216,79.38144329896907,79.38144329896907,80.41237113402062,81.44329896907216,80.41237113402062,79.38144329896907,80.41237113402062,82.47422680412372
51,59.550561797752806,68.53932584269663,70.78651685393258,75.28089887640449,68.53932584269663,66.29213483146067,74.15730337078652,71.91011235955057,74.15730337078652,71.91011235955057,69.66292134831461,71.91011235955057,74.15730337078652,70.78651685393258,74.15730337078652,76.40449438202248,78.65168539325843,73.03370786516854,76.40449438202248,78.65168539325843,75.28089887640449,75.28089887640449,78.65168539325843,74.15730337078652,77.52808988764045
52,67.6470588235294,72.05882352941177,75.0,75.0,79.41176470588235,79.41176470588235,79.41176470588235,79.41176470588235,75.0,72.05882352941177,73.52941176470588,73.52941176470588,73.52941176470588,75.0,73.52941176470588,76.47058823529412,76.47058823529412,75.0,76.47058823529412,75.0,76.47058823529412,79.41176470588235,77.94117647058823,79.41176470588235,75.0
53,71.42857142857143,73.62637362637362,73.62637362637362,71.42857142857143,75.82417582417582,75.82417582417582,76.92307692307692,75.82417582417582,71.42857142857143,79.12087912087912,74.72527472527473,74.72527472527473,70.32967032967034,74.72527472527473,72.52747252747253,78.02197802197803,73.62637362637362,75.82417582417582,76.92307692307692,73.62637362637362,75.82417582417582,76.92307692307692,75.82417582417582,72.52747252747253,71.42857142857143
54,61.16504854368932,64.07766990291262,69.90291262135922,69.90291262135922,70.87378640776699,71.84466019417475,70.87378640776699,70.87378640776699,73.7864077669903,70.87378640776699,71.84466019417475,71.84466019417475,73.7864077669903,75.72815533980582,72.81553398058253,72.81553398058253,72.81553398058253,71.84466019417475,72.81553398058253,71.84466019417475,67.96116504854369,74.75728155339806,70.87378640776699,72.81553398058253,71.84466019417475
55,70.45454545454545,70.45454545454545,73.86363636363636,72.72727272727273,70.45454545454545,73.86363636363636,73.86363636363636,72.72727272727273,75.0,77.27272727272727,69.31818181818181,73.86363636363636,71.5909090909091,71.5909090909091,75.0,75.0,75.0,73.86363636363636,77.27272727272727,73.86363636363636,76.13636363636364,72.72727272727273,72.72727272727273,75.0,73.86363636363636
