dataset,round,selected_client_count,valid_client_count,svd_rank,effective_dimension,alpha_round,alpha_edge,dynamic_margin,raw_pairwise_cos_mean,raw_pairwise_cos_std,significant_edge_count,consensus_detected,core_size,core_coverage,core_ids,core_score,n_eff,active_alpha_ratio,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
DescribableTextures,17,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.01523178443312645,0.12233316153287888,0,0,0,0.0,[],0.0,0.0,0.0,0.0,7.98678447608836e-05,0.0,no_significant_core
DescribableTextures,18,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.012498036026954651,0.10393887013196945,0,0,0,0.0,[],0.0,0.0,0.0,0.0,6.79901713738218e-05,0.0,no_significant_core
DescribableTextures,19,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.04854610189795494,0.09060432016849518,1,0,0,0.0,[],0.0,0.0,0.0,0.0,7.21098986105062e-05,0.0,no_significant_core
DescribableTextures,20,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.005990197882056236,0.15075194835662842,1,0,0,0.0,[],0.0,0.0,0.0,0.0,7.199024548754096e-05,0.0,no_significant_core
DescribableTextures,21,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.02584896609187126,0.10832403600215912,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00012757365766447037,0.0,no_significant_core
DescribableTextures,22,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-5.113747647556011e-06,0.1230916753411293,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0001285555918002501,0.0,no_significant_core
DescribableTextures,23,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.0036502156872302294,0.10791754722595215,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00013066593965049833,0.0,no_significant_core
DescribableTextures,24,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,-0.015428919345140457,0.10846193134784698,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00012717756908386946,0.0,no_significant_core
DescribableTextures,25,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.004991972353309393,0.11253780871629715,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00011190262011950836,0.0,no_significant_core
DescribableTextures,26,10,10,8,128,0.05,0.0011111111111111111,0.27036266284689664,0.0469907708466053,0.08149655163288116,0,0,0,0.0,[],0.0,0.0,0.0,0.0,9.439629502594471e-05,0.0,no_significant_core
