dataset,round,selected_client_count,valid_client_count,svd_rank,kappa,n_eff,mean_pairwise_positive_similarity,direction_concentration,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Office31,26,6,6,8,0.08462954312562943,3.6145360469818115,0.1372109055519104,0.616784393787384,0.008096812292933464,0.0004613181808963418,17.551469802856445,
Office31,27,6,6,8,0.0708710327744484,2.613665819168091,0.10229192674160004,0.6928311586380005,0.010838255286216736,0.0005714051076211035,18.96772575378418,
Office31,28,6,6,8,0.014786142855882645,3.2042243480682373,0.02634349651634693,0.5612824559211731,0.009551668539643288,0.0005588015192188323,17.09313201904297,
Office31,29,6,6,8,0.005097603891044855,3.70790958404541,0.008967033587396145,0.5684827566146851,0.008483878336846828,0.0005966880708001554,14.218280792236328,
Office31,30,6,6,8,0.039170581847429276,3.697342872619629,0.06766176223754883,0.5789175629615784,0.008587857708334923,0.0007238637772388756,11.863914489746094,
Office31,31,6,6,8,0.03799876198172569,4.0052947998046875,0.06887287646532059,0.5517231822013855,0.00904872640967369,0.0004972665337845683,18.19693374633789,
Office31,32,6,6,8,0.04415285959839821,3.8242084980010986,0.07801654934883118,0.5659422278404236,0.009737171232700348,0.0006272943574003875,15.522491455078125,
Office31,33,6,6,8,0.027610933408141136,4.148706912994385,0.05120130628347397,0.5392622947692871,0.008316216059029102,0.0006109945243224502,13.610950469970703,
Office31,34,6,6,8,0.017860746011137962,4.0084943771362305,0.031556278467178345,0.5659965872764587,0.0072993445210158825,0.0005228915833868086,13.959575653076172,
Office31,35,6,6,8,0.04084653779864311,4.583672523498535,0.07731553167104721,0.5283095836639404,0.00924779288470745,0.0005623949109576643,16.443592071533203,
Office31,36,6,6,8,0.04542629048228264,3.6893982887268066,0.07783191651105881,0.5836460590362549,0.01079893670976162,0.0007191105396486819,15.017074584960938,
Office31,37,6,6,8,0.012359549291431904,3.8787412643432617,0.02299646846950054,0.5374542474746704,0.007966587319970131,0.000645739899482578,12.337145805358887,
Office31,38,6,6,8,0.01427566446363926,3.933171033859253,0.02628600411117077,0.5430899262428284,0.006913849152624607,0.0006065978668630123,11.397747039794922,
Office31,39,6,6,8,0.015627054497599602,4.194913387298584,0.03071037493646145,0.5088526010513306,0.006097659468650818,0.0005582208395935595,10.923381805419922,
Office31,40,6,6,8,0.06476298719644547,3.390002489089966,0.10527196526527405,0.6151968836784363,0.010469716973602772,0.0005428654840216041,19.28602409362793,
Office31,41,6,6,8,0.017973080277442932,4.822443962097168,0.0368330143392086,0.48796114325523376,0.0062101129442453384,0.0005150521756149828,12.057250022888184,
Office31,42,6,6,8,0.03199409693479538,3.3067238330841064,0.0526379831135273,0.6078138947486877,0.012187937274575233,0.0007428986136801541,16.405921936035156,
Office31,43,6,6,8,0.0116288335993886,5.763579845428467,0.02659325860440731,0.43728503584861755,0.005254581104964018,0.000542885041795671,9.678994178771973,
Office31,44,6,6,8,0.02020546793937683,4.476683139801025,0.04317856580018997,0.46795135736465454,0.006276502273976803,0.0006520790630020201,9.625370025634766,
Office31,45,6,6,8,0.013911164365708828,5.445379257202148,0.030167950317263603,0.4611239433288574,0.005186367779970169,0.0004839159082621336,10.717497825622559,
Office31,46,6,6,8,0.017173990607261658,5.144526481628418,0.03674770146608353,0.46734872460365295,0.005416309926658869,0.0005101392162032425,10.617317199707031,
Office31,47,6,6,8,0.022437645122408867,4.706037521362305,0.045158565044403076,0.49686357378959656,0.00730430381372571,0.000618795573245734,11.804065704345703,
Office31,48,6,6,8,0.017854847013950348,3.4775471687316895,0.031618207693099976,0.5647014379501343,0.0075767808593809605,0.00059846555814147,12.660346031188965,
Office31,49,6,6,8,0.04874151200056076,3.816159248352051,0.08285634219646454,0.5882652997970581,0.008497815579175949,0.0004985146224498749,17.04627227783203,
