dataset,round,selected_client_count,valid_client_count,svd_rank,effective_dimension,alpha_round,alpha_edge,dynamic_margin,raw_pairwise_cos_mean,raw_pairwise_cos_std,significant_edge_count,consensus_detected,core_size,core_coverage,core_ids,core_score,n_eff,active_alpha_ratio,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Office31,33,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.015514259226620197,0.12074314057826996,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006109945243224502,0.0,no_significant_core
Office31,34,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.036839552223682404,0.10568221658468246,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005228915833868086,0.0,no_significant_core
Office31,35,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.08782558143138885,0.10951102524995804,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005623949109576643,0.0,no_significant_core
Office31,36,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.03938133269548416,0.126772940158844,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0007191105396486819,0.0,no_significant_core
Office31,37,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.011166256852447987,0.08688794821500778,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000645739899482578,0.0,no_significant_core
Office31,38,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.0018969199154525995,0.10205113887786865,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006065978668630123,0.0,no_significant_core
Office31,39,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.013552797958254814,0.09962350875139236,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005582208395935595,0.0,no_significant_core
Office31,40,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.05991286784410477,0.12742318212985992,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005428654840216041,0.0,no_significant_core
Office31,41,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.00021521250891964883,0.09560462087392807,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005150521756149828,0.0,no_significant_core
Office31,42,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.014646354131400585,0.10681018233299255,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0007428986136801541,0.0,no_significant_core
Office31,43,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.026418190449476242,0.09140920639038086,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000542885041795671,0.0,no_significant_core
Office31,44,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.030031263828277588,0.15101194381713867,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0006520790630020201,0.0,no_significant_core
Office31,45,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.012109652161598206,0.12091916799545288,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004839159082621336,0.0,no_significant_core
Office31,46,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.01758820191025734,0.09838511049747467,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0005101392162032425,0.0,no_significant_core
Office31,47,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.014204878360033035,0.09966690838336945,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.000618795573245734,0.0,no_significant_core
Office31,48,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,-0.03453921526670456,0.10627970844507217,0,0,0,0.0,[],0.0,0.0,0.0,0.0,0.00059846555814147,0.0,no_significant_core
Office31,49,6,6,8,128,0.05,0.0033333333333333335,0.23980217350625366,0.029506737366318703,0.1307811737060547,1,0,0,0.0,[],0.0,0.0,0.0,0.0,0.0004985146224498749,0.0,no_significant_core
