dataset,round,client,is_selected,is_valid_residual,is_core,fedavg_weight,residual_norm,clipped_residual_norm,support,alpha,residual_cos_to_rcon
Office31,31,2,1,1,0,0.06470230966806412,0.004987384658306837,0.0,0.0,0.0,0.0
Office31,31,3,1,1,0,0.05680437386035919,0.0037802918814122677,0.0,0.0,0.0,0.0
Office31,31,4,1,1,0,0.0984204113483429,0.007653532084077597,0.0,0.0,0.0,0.0
Office31,31,5,1,1,0,0.0950789824128151,0.005368280224502087,0.0,0.0,0.0,0.0
Office31,32,0,1,1,0,0.34264883399009705,0.01880243793129921,0.0,0.0,0.0,0.0
Office31,32,1,1,1,0,0.34234508872032166,0.02145376056432724,0.0,0.0,0.0,0.0
Office31,32,2,1,1,0,0.06470230966806412,0.004555486608296633,0.0,0.0,0.0,0.0
Office31,32,3,1,1,0,0.05680437386035919,0.0028817737475037575,0.0,0.0,0.0,0.0
Office31,32,4,1,1,0,0.0984204113483429,0.008250677026808262,0.0,0.0,0.0,0.0
Office31,32,5,1,1,0,0.0950789824128151,0.006077446509152651,0.0,0.0,0.0,0.0
Office31,33,0,1,1,0,0.34264883399009705,0.019549839198589325,0.0,0.0,0.0,0.0
Office31,33,1,1,1,0,0.34234508872032166,0.022187938913702965,0.0,0.0,0.0,0.0
Office31,33,2,1,1,0,0.06470230966806412,0.004171299748122692,0.0,0.0,0.0,0.0
Office31,33,3,1,1,0,0.05680437386035919,0.004066957160830498,0.0,0.0,0.0,0.0
Office31,33,4,1,1,0,0.0984204113483429,0.009630976244807243,0.0,0.0,0.0,0.0
Office31,33,5,1,1,0,0.0950789824128151,0.007346820086240768,0.0,0.0,0.0,0.0
Office31,34,0,1,1,0,0.34264883399009705,0.02190292440354824,0.0,0.0,0.0,0.0
Office31,34,1,1,1,0,0.34234508872032166,0.01935257576406002,0.0,0.0,0.0,0.0
Office31,34,2,1,1,0,0.06470230966806412,0.0035928867291659117,0.0,0.0,0.0,0.0
Office31,34,3,1,1,0,0.05680437386035919,0.002063741907477379,0.0,0.0,0.0,0.0
Office31,34,4,1,1,0,0.0984204113483429,0.008362969383597374,0.0,0.0,0.0,0.0
Office31,34,5,1,1,0,0.0950789824128151,0.00892733596265316,0.0,0.0,0.0,0.0
Office31,35,0,1,1,0,0.34264883399009705,0.020765289664268494,0.0,0.0,0.0,0.0
Office31,35,1,1,1,0,0.34234508872032166,0.02558576501905918,0.0,0.0,0.0,0.0
Office31,35,2,1,1,0,0.06470230966806412,0.0032152070198208094,0.0,0.0,0.0,0.0
Office31,35,3,1,1,0,0.05680437386035919,0.003684193128719926,0.0,0.0,0.0,0.0
Office31,35,4,1,1,0,0.0984204113483429,0.007396346889436245,0.0,0.0,0.0,0.0
Office31,35,5,1,1,0,0.0950789824128151,0.007321223150938749,0.0,0.0,0.0,0.0
Office31,36,0,1,1,0,0.34264883399009705,0.020462075248360634,0.0,0.0,0.0,0.0
Office31,36,1,1,1,0,0.34234508872032166,0.023415185511112213,0.0,0.0,0.0,0.0
Office31,36,2,1,1,0,0.06470230966806412,0.003384677227586508,0.0,0.0,0.0,0.0
Office31,36,3,1,1,0,0.05680437386035919,0.0033837631344795227,0.0,0.0,0.0,0.0
Office31,36,4,1,1,0,0.0984204113483429,0.011184344999492168,0.0,0.0,0.0,0.0
Office31,36,5,1,1,0,0.0950789824128151,0.008384647779166698,0.0,0.0,0.0,0.0
Office31,37,0,1,1,0,0.34264883399009705,0.02311793342232704,0.0,0.0,0.0,0.0
Office31,37,1,1,1,0,0.34234508872032166,0.019890738651156425,0.0,0.0,0.0,0.0
Office31,37,2,1,1,0,0.06470230966806412,0.004127082414925098,0.0,0.0,0.0,0.0
Office31,37,3,1,1,0,0.05680437386035919,0.003514554351568222,0.0,0.0,0.0,0.0
Office31,37,4,1,1,0,0.0984204113483429,0.009133771061897278,0.0,0.0,0.0,0.0
Office31,37,5,1,1,0,0.0950789824128151,0.007879825308918953,0.0,0.0,0.0,0.0
Office31,38,0,1,1,0,0.34264883399009705,0.016652215272188187,0.0,0.0,0.0,0.0
Office31,38,1,1,1,0,0.34234508872032166,0.01888805441558361,0.0,0.0,0.0,0.0
Office31,38,2,1,1,0,0.06470230966806412,0.007495195604860783,0.0,0.0,0.0,0.0
Office31,38,3,1,1,0,0.05680437386035919,0.0036476310342550278,0.0,0.0,0.0,0.0
Office31,38,4,1,1,0,0.0984204113483429,0.00758418207988143,0.0,0.0,0.0,0.0
Office31,38,5,1,1,0,0.0950789824128151,0.0050970460288226604,0.0,0.0,0.0,0.0
Office31,39,0,1,1,0,0.34264883399009705,0.01633748970925808,0.0,0.0,0.0,0.0
Office31,39,1,1,1,0,0.34234508872032166,0.02155648171901703,0.0,0.0,0.0,0.0
Office31,39,2,1,1,0,0.06470230966806412,0.00815896037966013,0.0,0.0,0.0,0.0
Office31,39,3,1,1,0,0.05680437386035919,0.003948370460420847,0.0,0.0,0.0,0.0
Office31,39,4,1,1,0,0.0984204113483429,0.0068975212052464485,0.0,0.0,0.0,0.0
Office31,39,5,1,1,0,0.0950789824128151,0.005868765991181135,0.0,0.0,0.0,0.0
Office31,40,0,1,1,0,0.34264883399009705,0.01799556240439415,0.0,0.0,0.0,0.0
