dataset,round,client,fedavg_weight,residual_norm,clipped_residual_norm,support_s,alpha,residual_cos_to_rcon,is_valid_residual
DescribableTextures,26,0,0.10638298094272614,0.0016634032363072038,0.0016634032363072038,0.04718621075153351,0.08956033736467361,0.35410428047180176,1
DescribableTextures,26,1,0.10638298094272614,0.005749890115112066,0.001948190969415009,0.0680372342467308,0.12913599610328674,0.562524676322937,1
DescribableTextures,26,2,0.10638298094272614,0.002014158759266138,0.001948190969415009,0.04237133264541626,0.08042161166667938,0.2650664150714874,1
DescribableTextures,26,3,0.10638298094272614,0.0009012795053422451,0.0009012795053422451,0.05296904593706131,0.1005362793803215,0.28974649310112,1
DescribableTextures,26,4,0.10638298094272614,0.001948190969415009,0.001948190969415009,0.061139583587646484,0.11604411154985428,0.450239360332489,1
DescribableTextures,26,5,0.10638298094272614,0.0007980469963513315,0.0007980469963513315,0.06300486624240875,0.11958446353673935,0.3055618107318878,1
DescribableTextures,26,6,0.10638298094272614,0.0012514812406152487,0.0012514812406152487,0.04662427306175232,0.08849377185106277,0.2788035273551941,1
DescribableTextures,26,7,0.10638298094272614,0.0021551416721194983,0.0019481910858303308,0.06067201867699623,0.11515666544437408,0.41202589869499207,1
DescribableTextures,26,8,0.10638298094272614,0.003113045124337077,0.0019481908529996872,0.05947287380695343,0.11288066953420639,0.47090139985084534,1
DescribableTextures,26,9,0.042553190141916275,0.0002524350129533559,0.0002524350129533559,0.06346888840198517,0.04818606749176979,0.15435795485973358,1
DescribableTextures,27,0,0.10638298094272614,0.0011694621061906219,0.0011694621061906219,0.008868644945323467,0.04241447523236275,-0.11141965538263321,1
DescribableTextures,27,1,0.10638298094272614,0.005557056982070208,0.0021583617199212313,0.024995310232043266,0.11954057961702347,0.34142470359802246,1
DescribableTextures,27,2,0.10638298094272614,0.0017374649178236723,0.0017374649178236723,0.03218412399291992,0.1539212316274643,0.4337848126888275,1
DescribableTextures,27,3,0.10638298094272614,0.0010166054125875235,0.0010166054125875235,0.008607656694948673,0.04116629436612129,-0.16026972234249115,1
DescribableTextures,27,4,0.10638298094272614,0.003992733079940081,0.0021583617199212313,0.031131761148571968,0.14888827502727509,0.4783332049846649,1
DescribableTextures,27,5,0.10638298094272614,0.0011455765925347805,0.0011455765925347805,0.010701969265937805,0.05118238553404808,0.010340074077248573,1
DescribableTextures,27,6,0.10638298094272614,0.0026131263002753258,0.0021583617199212313,0.0534723699092865,0.2557326853275299,0.7897832989692688,1
DescribableTextures,27,7,0.10638298094272614,0.0024993671104311943,0.0021583617199212313,0.008677849546074867,0.04150199145078659,0.043290961533784866,1
DescribableTextures,27,8,0.10638298094272614,0.0021583617199212313,0.0021583617199212313,0.021694261580705643,0.10375324636697769,0.2839376628398895,1
DescribableTextures,27,9,0.042553190141916275,0.00043838241253979504,0.00043838241253979504,0.02190205827355385,0.04189881309866905,-0.17144547402858734,1
DescribableTextures,28,0,0.10638298094272614,0.0017378870397806168,0.0017378870397806168,0.013455009087920189,0.04652409255504608,-0.020413687452673912,1
DescribableTextures,28,1,0.10638298094272614,0.0018221562495455146,0.0018221562495455146,0.04817015677690506,0.16656047105789185,0.5913276076316833,1
DescribableTextures,28,2,0.10638298094272614,0.0019333127420395613,0.0018221563659608364,0.029801879078149796,0.10304751992225647,0.40422025322914124,1
DescribableTextures,28,3,0.10638298094272614,0.0008595549152232707,0.0008595549152232707,0.04394979029893875,0.15196749567985535,0.25230634212493896,1
DescribableTextures,28,4,0.10638298094272614,0.0029113146010786295,0.0018221563659608364,0.028164498507976532,0.09738586097955704,0.27810055017471313,1
DescribableTextures,28,5,0.10638298094272614,0.0007750605000182986,0.0007750605000182986,0.03774990886449814,0.13052983582019806,0.18485550582408905,1
DescribableTextures,28,6,0.10638298094272614,0.0026420147623866796,0.0018221561331301928,0.02453802525997162,0.08484641462564468,0.03685983270406723,1
DescribableTextures,28,7,0.10638298094272614,0.0017671830719336867,0.0017671830719336867,0.0031991058494895697,0.0110617158934474,-0.13963200151920319,1
DescribableTextures,28,8,0.10638298094272614,0.002472031395882368,0.0018221563659608364,0.050884850323200226,0.17594721913337708,0.657759964466095,1
DescribableTextures,28,9,0.042553190141916275,0.00017854815814644098,0.00017854815814644098,0.023229949176311493,0.03212936595082283,-0.14519308507442474,1
DescribableTextures,29,0,0.10638298094272614,0.002186303725466132,0.001804474857635796,0.0014479239471256733,0.004031239077448845,-0.14230069518089294,1
DescribableTextures,29,1,0.10638298094272614,0.001745024579577148,0.001745024579577148,0.016614757478237152,0.04625799134373665,0.08016178011894226,1
DescribableTextures,29,2,0.10638298094272614,0.0022723849397152662,0.0018044746248051524,0.045947883278131485,0.127925843000412,0.41549152135849,1
DescribableTextures,29,3,0.10638298094272614,0.0005851172609254718,0.0005851172609254718,0.04042188078165054,0.11254062503576279,0.10224123299121857,1
DescribableTextures,29,4,0.10638298094272614,0.0018044747412204742,0.0018044747412204742,0.05121435970067978,0.1425885111093521,0.4484723210334778,1
DescribableTextures,29,5,0.10638298094272614,0.001362139475531876,0.001362139475531876,0.007649469189345837,0.02129727602005005,-0.04647288843989372,1
DescribableTextures,29,6,0.10638298094272614,0.002591916127130389,0.0018044747412204742,0.07511191070079803,0.2091229110956192,0.7111973762512207,1
DescribableTextures,29,7,0.10638298094272614,0.001777499564923346,0.001777499564923346,0.05424903333187103,0.15103749930858612,0.5024510622024536,1
DescribableTextures,29,8,0.10638298094272614,0.002399356570094824,0.0018044746248051524,0.05042440816760063,0.14038915932178497,0.4209687113761902,1
DescribableTextures,29,9,0.042553190141916275,0.00017407069390174001,0.00017407069390174001,0.04023578390479088,0.044808998703956604,0.12796910107135773,1
DescribableTextures,30,0,0.10638298094272614,0.0009539203601889312,0.0009539203601889312,0.023908982053399086,0.058264266699552536,0.06693609803915024,1
DescribableTextures,30,1,0.10638298094272614,0.0014229940716177225,0.0014229940716177225,0.029532775282859802,0.07196899503469467,0.06879901885986328,1
DescribableTextures,30,2,0.10638298094272614,0.003308679908514023,0.0022999730426818132,0.028942011296749115,0.07052935659885406,0.19377586245536804,1
DescribableTextures,30,3,0.10638298094272614,0.0012540208408609033,0.0012540208408609033,0.03863123804330826,0.09414122253656387,0.2020542174577713,1
DescribableTextures,30,4,0.10638298094272614,0.0022999730426818132,0.0022999730426818132,0.06428641080856323,0.15666081011295319,0.5989318490028381,1
DescribableTextures,30,5,0.10638298094272614,0.0011212005047127604,0.0011212005047127604,0.04238049313426018,0.10327785462141037,0.22924910485744476,1
DescribableTextures,30,6,0.10638298094272614,0.0029272669926285744,0.0022999730426818132,0.05649859458208084,0.13768252730369568,0.5543145537376404,1
DescribableTextures,30,7,0.10638298094272614,0.003209735034033656,0.0022999730426818132,0.04151556268334389,0.10117008537054062,0.4088277518749237,1
DescribableTextures,30,8,0.10638298094272614,0.003018998773768544,0.0022999730426818132,0.06090228259563446,0.14841395616531372,0.5505619049072266,1
DescribableTextures,30,9,0.042553190141916275,0.00012379720283206552,0.00012379720283206552,0.0593893900513649,0.057890865951776505,0.17480094730854034,1
DescribableTextures,31,0,0.10638298094272614,0.001188554335385561,0.001188554335385561,0.029711144044995308,0.05685411021113396,0.16572360694408417,1
DescribableTextures,31,1,0.10638298094272614,0.001017434406094253,0.001017434406094253,0.07348805665969849,0.14062394201755524,0.4741814136505127,1
DescribableTextures,31,2,0.10638298094272614,0.0030388894956558943,0.0012717145727947354,0.11155082285404205,0.21345940232276917,0.7335534691810608,1
DescribableTextures,31,3,0.10638298094272614,0.0011821857187896967,0.0011821857187896967,0.03500588983297348,0.06698593497276306,0.22903922200202942,1
DescribableTextures,31,4,0.10638298094272614,0.0032838655170053244,0.0012717146892100573,0.01709144376218319,0.032705534249544144,0.005768293980509043,1
DescribableTextures,31,5,0.10638298094272614,0.001011710031889379,0.001011710031889379,0.027603909373283386,0.05282178893685341,0.10085461288690567,1
DescribableTextures,31,6,0.10638298094272614,0.0012717145727947354,0.0012717145727947354,0.09300366789102554,0.17796827852725983,0.6434808969497681,1
DescribableTextures,31,7,0.10638298094272614,0.0019296734826639295,0.0012717145727947354,0.05469514802098274,0.10466255247592926,0.347703754901886,1
DescribableTextures,31,8,0.10638298094272614,0.004225411918014288,0.0012717145727947354,0.07347915321588516,0.14060690999031067,0.526121973991394,1
DescribableTextures,31,9,0.042553190141916275,0.00017912601470015943,0.00017912601470015943,0.01739100180566311,0.013311502523720264,-0.15211200714111328,1
DescribableTextures,32,0,0.10638298094272614,0.001480040024034679,0.001480040024034679,0.03482384607195854,0.06842458248138428,0.004304858390241861,1
DescribableTextures,32,1,0.10638298094272614,0.0009823112050071359,0.0009823112050071359,0.02458391897380352,0.04830438271164894,0.02000363916158676,1
DescribableTextures,32,2,0.10638298094272614,0.002364479936659336,0.0015805322909727693,0.052076175808906555,0.10232329368591309,0.4968354105949402,1
DescribableTextures,32,3,0.10638298094272614,0.0006743250414729118,0.0006743250414729118,0.05821215733885765,0.11437974125146866,0.11690061539411545,1
DescribableTextures,32,4,0.10638298094272614,0.0031143920496106148,0.0015805322909727693,0.03308435156941414,0.06500668823719025,0.2124198079109192,1
DescribableTextures,32,5,0.10638298094272614,0.0005234150448814034,0.0005234150448814034,0.0830639898777008,0.16321054100990295,0.36123812198638916,1
DescribableTextures,32,6,0.10638298094272614,0.001580532407388091,0.001580532407388091,0.08368588984012604,0.16443251073360443,0.6488567590713501,1
DescribableTextures,32,7,0.10638298094272614,0.001812987495213747,0.0015805322909727693,0.027542665600776672,0.05411795899271965,0.13187839090824127,1
DescribableTextures,32,8,0.10638298094272614,0.002878012368455529,0.0015805322909727693,0.07744193077087402,0.15216389298439026,0.6559396386146545,1
DescribableTextures,32,9,0.042553190141916275,8.446849096799269e-05,8.446849096799269e-05,0.08605678379535675,0.0676364004611969,0.07862593233585358,1
DescribableTextures,33,0,0.10638298094272614,0.0011225437046959996,0.0011225437046959996,0.03396227955818176,0.10321353375911713,0.26797816157341003,1
DescribableTextures,33,1,0.10638298094272614,0.0018197071040049195,0.0014073032652959228,0.019634220749139786,0.059669651091098785,0.1804773211479187,1
DescribableTextures,33,2,0.10638298094272614,0.001851452048867941,0.0014073032652959228,0.022821864113211632,0.06935709714889526,0.2703079581260681,1
DescribableTextures,33,3,0.10638298094272614,0.000595088757108897,0.000595088757108897,0.038680415600538254,0.117552250623703,0.22116659581661224,1
DescribableTextures,33,4,0.10638298094272614,0.0014961889246478677,0.001407303148880601,0.05112401396036148,0.1553691327571869,0.6221693158149719,1
DescribableTextures,33,5,0.10638298094272614,0.000499814108479768,0.000499814108479768,0.038879700005054474,0.11815789341926575,0.23362691700458527,1
DescribableTextures,33,6,0.10638298094272614,0.0014073032652959228,0.0014073032652959228,0.04934295266866684,0.1499563753604889,0.6066344380378723,1
DescribableTextures,33,7,0.10638298094272614,0.0012251845328137279,0.0012251845328137279,0.032564133405685425,0.09896448254585266,0.30752798914909363,1
DescribableTextures,33,8,0.10638298094272614,0.0028629431035369635,0.0014073032652959228,0.021944820880889893,0.06669171154499054,0.20772358775138855,1
DescribableTextures,33,9,0.042553190141916275,0.00011333350994391367,0.00011333350994391367,0.05023576319217682,0.06106787174940109,0.09513664245605469,1
DescribableTextures,34,0,0.10638298094272614,0.0018963837064802647,0.0014188193017616868,0.03993460536003113,0.09820721298456192,0.3663126230239868,1
