dataset,lambda,round,client,local_epoch,batch,valid,invalid_reason,spf_gamma,spf_rank,ce_loss,mse_loss,weighted_mse_loss,total_loss,ce_grad_norm,mse_grad_norm,dot_ce_mse,cos_ce_mse,effective_pull_ratio,utility
Caltech101,0.3,5,0,0,0,1,,0.01000213623046875,8.0,0.4111328125,0.00023391476133838296,7.017442840151489e-05,0.4112029869284015,6.772230625152588,0.0003379735571797937,-3.724589623743668e-05,-0.016272862947583604,1.4971738673125685e-05,-2.4363305162128625e-07
Caltech101,0.3,5,1,0,0,1,,0.01000213623046875,8.0,0.2978515625,0.00023481011157855392,7.044303347356617e-05,0.2979220055334736,10.224146842956543,0.0003386258031241596,-5.802992745884694e-05,-0.016761192006015873,9.936060435910321e-06,-1.6654021679778835e-07
Caltech101,0.3,5,2,0,0,1,,0.01000213623046875,8.0,0.4365234375,0.0002325329987797886,6.975989963393658e-05,0.4365931973996339,9.493802070617676,0.0003369504993315786,6.570312689291313e-05,0.020539022045002946,1.0647488650759941e-05,2.1868900419026067e-07
Caltech101,0.3,5,3,0,0,1,,0.01000213623046875,8.0,0.60888671875,0.0002366588159929961,7.099764479789883e-05,0.6089577163947979,10.821056365966797,0.0003399653942324221,8.515824447385967e-06,0.0023148471994552003,9.425107385124044e-06,2.1817683440951425e-08
Caltech101,0.3,5,4,0,0,1,,0.01000213623046875,8.0,0.330322265625,0.00023642228916287422,7.092668674886226e-05,0.33039319231174885,5.696193695068359,0.0003397584368940443,-2.0041099560330622e-05,-0.010355392070989039,1.7893972102185013e-05,-1.8529909692123804e-07
Caltech101,0.3,5,5,0,0,1,,0.01000213623046875,8.0,0.1654052734375,0.00023712246911600232,7.113674073480069e-05,0.1654764101782348,4.039474964141846,0.0003402215661481023,7.5042025855509564e-06,0.005460316155048395,2.5267261401653128e-05,1.3796723572569276e-07
Caltech101,0.3,5,6,0,0,1,,0.01000213623046875,8.0,0.474853515625,0.00023422295635100454,7.026688690530136e-05,0.4749237825119053,13.725366592407227,0.0003381590358912945,-5.839616642333567e-05,-0.01258170180739972,7.391256917210582e-06,-9.299459053426643e-08
Caltech101,0.3,5,7,0,0,1,,0.01000213623046875,8.0,0.923828125,0.00023435843468178064,7.03075304045342e-05,0.9238984325304045,16.97453498840332,0.00033827623701654375,-5.6669341574888676e-05,-0.009869128189350809,5.978536152789359e-06,-5.9002939686825195e-08
Caltech101,0.3,5,8,0,0,1,,0.01000213623046875,8.0,0.1524658203125,0.00023568098549731076,7.070429564919323e-05,0.1525365246081492,7.735426902770996,0.00033917243126779795,1.208294906973606e-05,0.00460540802785513,1.315399016231109e-05,6.057949191493154e-08
Caltech101,0.3,5,9,0,0,1,,0.01000213623046875,8.0,0.37109375,0.00023585965391248465,7.075789617374539e-05,0.3711645078961737,6.726142406463623,0.0003394373052287847,-1.4061937690712512e-05,-0.006159132401132998,1.5139612784701601e-05,-9.324687968371696e-08
Caltech101,0.3,10,0,0,0,1,,0.01000213623046875,8.0,0.322509765625,0.00023372442228719592,7.011732668615878e-05,0.32257988295168616,5.050782203674316,0.00033777859061956406,-1.0110179573530331e-05,-0.005926088164605168,2.006294730193108e-05,-1.1889479462278014e-07
Caltech101,0.3,10,1,0,0,1,,0.01000213623046875,8.0,0.39404296875,0.00023478729417547584,7.043618825264275e-05,0.39411340493825264,7.061205863952637,0.00033858450478874147,-4.324544352130033e-05,-0.018088160514724956,1.4384986558053617e-05,-2.6019794597309863e-07
Caltech101,0.3,10,2,0,0,1,,0.01000213623046875,8.0,0.250244140625,0.00023180694552138448,6.954208365641534e-05,0.2503136827086564,6.288325309753418,0.0003364191798027605,-1.9260694898548536e-05,-0.00910450215937418,1.6049703055958735e-05,-1.4612455619938306e-07
Caltech101,0.3,10,3,0,0,1,,0.01000213623046875,8.0,0.1964111328125,0.00023703297483734787,7.110989245120435e-05,0.1964822427049512,6.614055156707764,0.0003402430156711489,-2.125315586454235e-05,-0.009444226533565163,1.5432726562283073e-05,-1.4575016574955508e-07
Caltech101,0.3,10,4,0,0,1,,0.01000213623046875,8.0,0.283447265625,0.0002366439439356327,7.09931831806898e-05,0.2835182588081807,6.301380157470703,0.00033993422403000295,3.8082180253695697e-05,0.01777834100954163,1.6183798574361576e-05,2.8772109001909236e-07
Caltech101,0.3,10,5,0,0,1,,0.01000213623046875,8.0,0.08154296875,0.00023674045223742723,7.102213567122817e-05,0.08161399088567123,5.45014762878418,0.0003399984270799905,-1.0566049240878783e-05,-0.005702003190125021,1.871500279832466e-05,-1.0671300571684993e-07
Caltech101,0.3,10,6,0,0,1,,0.01000213623046875,8.0,0.17236328125,0.00023410763242281973,7.023228972684592e-05,0.17243351353972686,6.350808620452881,0.00033811217872425914,2.2033535060472786e-05,0.01026110994299593,1.5971769845274988e-05,1.6388808644293885e-07
Caltech101,0.3,10,7,0,0,1,,0.01000213623046875,8.0,0.4365234375,0.0002344897366128862,7.034692098386585e-05,0.43659378442098384,12.434473991394043,0.0003383602888789028,-5.127214171807282e-05,-0.012186378238035592,8.163440346082744e-06,-9.948277180465697e-08
Caltech101,0.3,10,8,0,0,1,,0.01000213623046875,8.0,0.122802734375,0.00023552404309157282,7.065721292747185e-05,0.12287339158792747,8.809206008911133,0.00033910333877429366,1.4831424778094515e-05,0.0049649404184721685,1.1548260028130625e-05,5.733642299589189e-08
Caltech101,0.3,10,9,0,0,1,,0.01000213623046875,8.0,0.1092529296875,0.00023594681988470256,7.078404596541076e-05,0.10932371373346542,5.8478779792785645,0.00033941969741135836,-7.323065347009106e-06,-0.0036894154766716233,1.741245449788815e-05,-6.424177914372355e-08
Caltech101,0.3,15,0,0,0,1,,0.01000213623046875,8.0,0.2255859375,0.0002337487821932882,7.012463465798646e-05,0.225656062134658,14.701809883117676,0.0003378195397090167,1.1884631021530367e-05,0.0023929307720689484,6.893427592821425e-06,1.6495495015213925e-08
Caltech101,0.3,15,1,0,0,1,,0.01000213623046875,8.0,0.1595458984375,0.0002345825923839584,7.037477771518751e-05,0.15961627321521518,10.192018508911133,0.0003384414012543857,-1.6410474927397445e-05,-0.004757485372114209,9.961954080787182e-06,-4.739385083076239e-08
Caltech101,0.3,15,2,0,0,1,,0.01000213623046875,8.0,0.351318359375,0.00023197360860649496,6.959208258194849e-05,0.35138795145758195,7.471173286437988,0.00033649333636276424,-8.813308340904769e-06,-0.003505691426933274,1.3511666379370578e-05,-4.736773300858906e-08
Caltech101,0.3,15,3,0,0,1,,0.01000213623046875,8.0,0.339599609375,0.00023728434462100267,7.11853033863008e-05,0.3396707946783863,8.530113220214844,0.00034042916377075016,7.902993274910841e-06,0.0027215107782183126,1.1972730782656693e-05,3.258391588093048e-08
Caltech101,0.3,15,4,0,0,1,,0.01000213623046875,8.0,0.020233154296875,0.0002365071268286556,7.095213804859668e-05,0.020304106434923596,1.725468397140503,0.0003398428962100297,-3.7630434235325083e-06,-0.00641732484065469,5.9087068202413395e-05,-3.7918091118353585e-07
Caltech101,0.3,15,5,0,0,1,,0.01000213623046875,8.0,0.109130859375,0.00023755374422762543,7.126612326828763e-05,0.10920212549826828,5.065122127532959,0.00034057412995025516,-1.2836042515118606e-05,-0.007440970272879678,2.017172269739937e-05,-1.500971890311551e-07
Caltech101,0.3,15,6,0,0,1,,0.01000213623046875,8.0,0.211669921875,0.00023386615794152021,7.015984738245606e-05,0.21174008172238246,5.48248815536499,0.00033795463968999684,3.9011327316984534e-05,0.021054969250727373,1.849276989459011e-05,3.893647017015754e-07
Caltech101,0.3,15,7,0,0,1,,0.01000213623046875,8.0,0.5390625,0.00023413493181578815,7.024047954473644e-05,0.5391327404795447,7.433460712432861,0.00033813223126344383,-3.972234480897896e-05,-0.015803644656461016,1.3646358446390416e-05,-2.1566219982727648e-07
