dataset,round,selected_client_count,valid_client_count,svd_rank,kappa,n_eff,mean_pairwise_positive_similarity,direction_concentration,rcon_norm,fedavg_global_update_norm,rcon_to_fedavg_ratio,zero_consensus_reason
Caltech101,17,10,10,8,0.017636796459555626,8.239558219909668,0.04495146498084068,0.39235198497772217,0.002297347644343972,0.00015807701856829226,14.533090591430664,
Caltech101,18,10,10,8,0.014683937653899193,7.785749435424805,0.037008192390203476,0.39677533507347107,0.002128755208104849,0.0001522821985417977,13.979015350341797,
Caltech101,19,10,10,8,0.00854799710214138,9.382768630981445,0.03351902216672897,0.25501927733421326,0.0013754674000665545,0.00017617197590880096,7.807526588439941,
Caltech101,20,10,10,8,0.014728216454386711,7.8249921798706055,0.03800797089934349,0.38750335574150085,0.0019269125768914819,0.0001697142142802477,11.353866577148438,
Caltech101,21,10,10,8,0.011685995385050774,7.548742294311523,0.029754066839814186,0.39275288581848145,0.002050135750323534,0.0001654057123232633,12.394588470458984,
Caltech101,22,10,10,8,0.010419243946671486,8.819573402404785,0.03289451450109482,0.31674715876579285,0.0014602136798202991,0.00012451419024728239,11.727287292480469,
Caltech101,23,10,10,8,0.00768986577168107,9.378228187561035,0.026390457525849342,0.2913881242275238,0.0013808474177494645,0.00011983638250967488,11.522772789001465,
Caltech101,24,10,10,8,0.012478698045015335,6.683748245239258,0.028847770765423775,0.43257060647010803,0.001892978441901505,0.00011545162851689383,16.396289825439453,
Caltech101,25,10,10,8,0.016702011227607727,8.919936180114746,0.04569846764206886,0.36548295617103577,0.0016190962633118033,0.0001275385293411091,12.694957733154297,
Caltech101,26,10,10,8,0.01849939115345478,8.973628044128418,0.04891961067914963,0.3781590163707733,0.0015103674959391356,0.00014105621085036546,10.707557678222656,
Caltech101,27,10,10,8,0.009611232206225395,9.583260536193848,0.03149678185582161,0.305149644613266,0.0015475961845368147,0.00016876659356057644,9.170038223266602,
Caltech101,28,10,10,8,0.018925020471215248,7.867138862609863,0.04568423330783844,0.41425713896751404,0.001852949964813888,0.00013398515875451267,13.829516410827637,
Caltech101,29,10,10,8,0.017037909477949142,8.338107109069824,0.0436231903731823,0.3905699849128723,0.0017823801608756185,0.0001282738521695137,13.895116806030273,
Caltech101,30,10,10,8,0.013238447718322277,8.444198608398438,0.03596487268805504,0.3680938184261322,0.0018415289232507348,0.0001406949304509908,13.088808059692383,
Caltech101,31,10,10,8,0.013316772878170013,8.938780784606934,0.037070803344249725,0.3592253625392914,0.0017753607826307416,0.00020179389684926718,8.797891616821289,
Caltech101,32,10,10,8,0.01718142256140709,8.043845176696777,0.043642859905958176,0.3936823308467865,0.002058681333437562,0.00018506361811887473,11.124181747436523,
Caltech101,33,10,10,8,0.0176133681088686,8.14166259765625,0.043867919594049454,0.4015090763568878,0.001592550310306251,0.00018823353457264602,8.460502624511719,
Caltech101,34,10,10,8,0.024686889722943306,8.98827075958252,0.06242883577942848,0.3954404890537262,0.00186371139716357,0.00011831493611680344,15.75212287902832,
Caltech101,35,10,10,8,0.014895469881594181,8.505130767822266,0.041129179298877716,0.36216306686401367,0.0016974054742604494,0.00015060511941555887,11.270569801330566,
Caltech101,36,10,10,8,0.019519144669175148,8.293728828430176,0.05137743428349495,0.3799166977405548,0.0013578982325270772,9.268725261790678e-05,14.650323867797852,
Caltech101,37,10,10,8,0.011440549977123737,7.666402339935303,0.030498547479510307,0.37511786818504333,0.0015207453398033977,8.801198418950662e-05,17.278844833374023,
Caltech101,38,10,10,8,0.021722694858908653,8.72314453125,0.054943181574344635,0.39536651968955994,0.0017034814227372408,0.00011044028360629454,15.424457550048828,
Caltech101,39,10,10,8,0.013934801332652569,8.990874290466309,0.03989344835281372,0.3493005037307739,0.001497565652243793,0.00010840510367415845,13.814531326293945,
Caltech101,40,10,10,8,0.019638311117887497,8.706361770629883,0.0523688830435276,0.37499961256980896,0.0015543169574812055,0.00011072347115259618,14.037827491760254,
Caltech101,41,10,10,8,0.021852200850844383,8.718301773071289,0.05448923632502556,0.4010370075702667,0.0015518865548074245,0.00012719279038719833,12.201057434082031,
Caltech101,42,10,10,8,0.023795755580067635,8.684457778930664,0.05813228711485863,0.4093380272388458,0.0020825527608394623,0.00011322350474074483,18.39328956604004,
Caltech101,43,10,10,8,0.013361058197915554,8.770730018615723,0.03844841569662094,0.3475060760974884,0.001400089473463595,8.989184425445274e-05,15.57526683807373,
Caltech101,44,10,10,8,0.011566980741918087,7.995748996734619,0.03154297173023224,0.3667054772377014,0.001223740866407752,0.00011088375322287902,11.036250114440918,
Caltech101,45,10,10,8,0.016569707542657852,8.306717872619629,0.04352104291319847,0.3807286322116852,0.0014760919148102403,0.00010787563223857433,13.68327522277832,
Caltech101,46,10,10,8,0.016727767884731293,8.704885482788086,0.047974538058042526,0.34868013858795166,0.0012457378907129169,0.00010035806189989671,12.412933349609375,
Caltech101,47,10,10,8,0.015710584819316864,7.248230934143066,0.03715630620718002,0.4228242039680481,0.0013984323013573885,7.801494211889803e-05,17.925186157226562,
Caltech101,48,10,10,8,0.018411194905638695,9.334001541137695,0.051533229649066925,0.35726839303970337,0.001511580077931285,9.085480269277468e-05,16.63731575012207,
Caltech101,49,10,10,8,0.019517187029123306,8.67012882232666,0.05141032114624977,0.3796355724334717,0.0015266436384990811,0.00014859589282423258,10.273794174194336,
