dataset,round,client,lambda_before,lambda_after,action,valid,invalid_reason,raw_alignment,raw_pull_ratio,effective_pull_ratio,utility,negative_streak,warmup_pull_ref,cooldown_until,decay_count,ce_loss,mse_loss,weighted_mse_loss,ce_grad_norm,mse_grad_norm,spf_gamma,spf_rank
DescribableTextures,5,8,0.3,0.3,warmup,1,,1.077317008913e-08,1.2828565868097761e-05,3.848569760429328e-06,3.2319510267389997e-09,0,,-1,0,1.486328125,0.00023619187413714826,7.085756224114447e-05,26.476520538330078,0.0003396557876840234,0.01000213623046875,8.0
DescribableTextures,5,9,0.3,0.3,warmup,1,,-1.0787139076912971e-07,8.089734796040332e-06,2.4269204388120994e-06,-3.2361417230738913e-08,0,,-1,0,1.48828125,0.00023606306058354676,7.081891817506403e-05,41.969451904296875,0.00033952173544093966,0.01000213623046875,8.0
DescribableTextures,10,0,0.3,0.3,warmup,1,,1.4259340205059774e-07,3.2828690701832004e-05,9.8486072105496e-06,4.277802061517932e-08,0,,-1,0,0.43408203125,0.00023595683160237968,7.07870494807139e-05,10.339076042175293,0.0003394183295313269,0.01000213623046875,8.0
DescribableTextures,10,1,0.3,0.3,warmup,1,,-2.212251014415944e-08,1.2518919016748889e-05,3.7556757050246666e-06,-6.636753043247832e-09,0,,-1,0,0.53173828125,0.00023491265892516822,7.047379767755046e-05,27.05465316772461,0.0003386950120329857,0.01000213623046875,8.0
DescribableTextures,10,2,0.3,0.3,warmup,1,,7.064113854378276e-07,2.8510743862235968e-05,8.55322315867079e-06,2.1192341563134827e-07,0,,-1,0,0.52685546875,0.0002352946758037433,7.058840274112299e-05,11.889425277709961,0.00033897635876201093,0.01000213623046875,8.0
DescribableTextures,10,3,0.3,0.3,warmup,1,,-1.3490594847194722e-06,4.26870842184756e-05,1.2806125265542678e-05,-4.0471784541584167e-07,0,,-1,0,0.2091064453125,0.0002353386953473091,7.060160860419273e-05,7.9427337646484375,0.00033905214513652027,0.01000213623046875,8.0
DescribableTextures,10,4,0.3,0.3,warmup,1,,-3.839404247871568e-07,2.2439339917192958e-05,6.7318019751578875e-06,-1.1518212743614703e-07,0,,-1,0,0.9111328125,0.00023582071298733354,7.074621389620006e-05,15.120345115661621,0.00033929056371562183,0.01000213623046875,8.0
DescribableTextures,10,5,0.3,0.3,warmup,1,,1.3177457370252144e-07,6.868627963563373e-05,2.060588389069012e-05,3.953237211075643e-08,0,,-1,0,0.08673095703125,0.000236061547184363,7.08184641553089e-05,4.94392728805542,0.0003395799722056836,0.01000213623046875,8.0
DescribableTextures,10,6,0.3,0.3,warmup,1,,-1.4041949998476584e-07,2.9051987027197506e-05,8.715596108159252e-06,-4.212584999542975e-08,0,,-1,0,0.39306640625,0.00023583159781992435,7.074947934597731e-05,11.679730415344238,0.000339319376507774,0.01000213623046875,8.0
DescribableTextures,10,7,0.3,0.3,warmup,1,,4.99282570255219e-08,5.928045338564277e-06,1.778413601569283e-06,1.4978477107656567e-08,0,,-1,0,1.08984375,0.00023436942137777805,7.031082641333342e-05,57.073402404785156,0.0003383337170816958,0.01000213623046875,8.0
DescribableTextures,10,8,0.3,0.3,warmup,1,,1.808512845076959e-07,1.789814147524355e-05,5.369442442573065e-06,5.425538535230877e-08,0,,-1,0,0.6123046875,0.00023623582092113793,7.087074627634137e-05,18.976394653320312,0.0003396421961952001,0.01000213623046875,8.0
DescribableTextures,10,9,0.3,0.3,warmup,1,,7.10020991208981e-08,1.546669796110872e-05,4.640009388332616e-06,2.130062973626943e-08,0,,-1,0,0.275146484375,0.00023641946609131992,7.092583982739597e-05,21.968461990356445,0.00033977956627495587,0.01000213623046875,8.0
DescribableTextures,15,0,0.3,0.3,keep,1,,1.1838631264786999e-07,3.301052637845578e-05,9.903157913536734e-06,3.5515893794361e-08,0,1.770511197530084e-05,-1,0,0.26123046875,0.00023595825769007206,7.078747730702161e-05,10.2827730178833,0.00033943974995054305,0.01000213623046875,8.0
DescribableTextures,15,1,0.3,0.3,keep,1,,5.443278056416848e-08,8.358512439102047e-06,2.507553731730614e-06,1.6329834169250545e-08,0,1.2518919016748889e-05,-1,0,0.6796875,0.00023538456298410892,7.061536889523268e-05,40.55986785888672,0.0003390201600268483,0.01000213623046875,8.0
DescribableTextures,15,2,0.3,0.3,keep,1,,7.475376077239924e-08,3.953461840531559e-05,1.1860385521594676e-05,2.2426128231719772e-08,0,1.9998469266111593e-05,-1,0,0.2445068359375,0.0002349310670979321,7.047932012937963e-05,8.566832542419434,0.0003386864555068314,0.01000213623046875,8.0
DescribableTextures,15,3,0.3,0.3,keep,1,,3.737719627564078e-07,6.866651271795969e-05,2.0599953815387906e-05,1.1213158882692234e-07,0,1.3091999843335638e-05,-1,0,0.1209716796875,0.00023560968111269176,7.068290433380753e-05,4.939800262451172,0.00033919885754585266,0.01000213623046875,8.0
DescribableTextures,15,4,0.3,0.3,negative_wait,1,,-1.904872075918689e-07,2.1576711656983877e-05,6.473013497095163e-06,-5.7146162277560666e-08,1,1.2716640112267103e-05,-1,0,0.50830078125,0.00023618090199306607,7.085427059791981e-05,15.739190101623535,0.00033959996653720737,0.01000213623046875,8.0
DescribableTextures,15,5,0.3,0.3,keep,1,,1.6438608134420272e-06,6.007514724422526e-05,1.802254417326758e-05,4.931582440326082e-07,0,6.611168571700674e-05,-1,0,0.11669921875,0.00023600112763233483,7.080033828970045e-05,5.650485992431641,0.0003394537779968232,0.01000213623046875,8.0
DescribableTextures,15,6,0.3,0.3,keep,1,,5.5961273187424726e-08,4.549724442389516e-05,1.3649173327168549e-05,1.6788381956227416e-08,0,2.610835069977119e-05,-1,0,0.0760498046875,0.00023613020312041044,7.083906093612314e-05,7.4638824462890625,0.0003395860840100795,0.01000213623046875,8.0
DescribableTextures,15,7,0.3,0.3,keep,1,,5.67608196658017e-08,2.117335745866188e-05,6.352007237598564e-06,1.702824589974051e-08,0,6.511455125748481e-06,-1,0,0.447265625,0.00023402181977871805,7.020654593361541e-05,15.965506553649902,0.0003380433772690594,0.01000213623046875,8.0
DescribableTextures,15,8,0.3,0.3,keep,1,,5.547266552381374e-08,5.227801057773252e-05,1.5683403173319754e-05,1.664179965714412e-08,0,1.2828565868097761e-05,-1,0,0.1270751953125,0.00023640721337869763,7.092216401360929e-05,6.50009298324585,0.00033981192973442376,0.01000213623046875,8.0
DescribableTextures,15,9,0.3,0.3,negative_wait,1,,-8.28107417039622e-08,3.857616972746416e-05,1.1572850918239247e-05,-2.484322251118866e-08,1,8.484980310768006e-06,-1,0,0.0595703125,0.00023652747040614486,7.095824112184346e-05,8.80959701538086,0.00033984050969593227,0.01000213623046875,8.0
DescribableTextures,20,0,0.3,0.3,negative_wait,1,,-1.9765047804041233e-07,2.4008293825432665e-05,7.202488147629799e-06,-5.9295143412123694e-08,1,1.770511197530084e-05,-1,0,0.1602783203125,0.00023594769299961627,7.078430789988487e-05,14.138710975646973,0.00033944632741622627,0.01000213623046875,8.0
DescribableTextures,20,1,0.3,0.3,negative_wait,1,,-2.0630905901502896e-07,2.7662690381288305e-05,8.29880711438649e-06,-6.189271770450868e-08,1,1.2518919016748889e-05,-1,0,0.322998046875,0.00023558286193292588,7.067485857987776e-05,12.262868881225586,0.00033922394504770637,0.01000213623046875,8.0
DescribableTextures,20,2,0.3,0.3,negative_wait,1,,-1.0556028323721063e-07,2.8762474230000762e-05,8.628742269000228e-06,-3.166808497116319e-08,1,1.9998469266111593e-05,-1,0,0.376953125,0.0002347774716326967,7.0433241489809e-05,11.77141284942627,0.00033857495873235166,0.01000213623046875,8.0
DescribableTextures,20,3,0.3,0.3,keep,1,,9.170245196989528e-08,4.737476561398376e-05,1.4212429684195128e-05,2.7510735590968583e-08,0,1.3091999843335638e-05,-1,0,0.1287841796875,0.0002356874756515026,7.070624269545078e-05,7.159842491149902,0.0003391958598513156,0.01000213623046875,8.0
DescribableTextures,20,4,0.3,0.3,keep,1,,2.6747739876262944e-08,2.966504945385005e-05,8.899514836155015e-06,8.024321962878883e-09,0,1.2716640112267103e-05,-1,0,0.43505859375,0.000236617008340545,7.09851025021635e-05,11.45870590209961,0.000339923077262938,0.01000213623046875,8.0
DescribableTextures,20,5,0.3,0.3,negative_wait,1,,-4.5568475682789165e-07,6.702257743352838e-05,2.0106773230058514e-05,-1.3670542704836748e-07,1,6.611168571700674e-05,-1,0,0.1051025390625,0.00023598523694090545,7.079557108227163e-05,5.064760208129883,0.00033945328323170543,0.01000213623046875,8.0
DescribableTextures,20,6,0.3,0.3,keep,1,,3.953316601209038e-07,2.0920540641466938e-05,6.276162192440081e-06,1.1859949803627114e-07,0,2.610835069977119e-05,-1,0,0.256103515625,0.00023615446116309613,7.084633834892884e-05,16.231258392333984,0.0003395667008589953,0.01000213623046875,8.0
DescribableTextures,20,7,0.3,0.3,negative_wait,1,,-7.947528086176965e-08,2.98573689094574e-05,8.95721067283722e-06,-2.3842584258530893e-08,1,6.511455125748481e-06,-1,0,0.1719970703125,0.0002338687190786004,7.016061572358012e-05,11.318992614746094,0.0003379553381819278,0.01000213623046875,8.0
DescribableTextures,20,8,0.3,0.3,keep,1,,2.47777575510554e-07,3.231660735099024e-05,9.694982205297071e-06,7.433327265316619e-08,0,1.2828565868097761e-05,-1,0,0.276123046875,0.00023631159274373204,7.089347782311961e-05,10.512815475463867,0.0003397385298740119,0.01000213623046875,8.0
DescribableTextures,20,9,0.3,0.3,negative_wait,1,,-2.267461102542197e-07,4.99926382596909e-05,1.4997791477907269e-05,-6.802383307626591e-08,2,8.484980310768006e-06,-1,0,0.040618896484375,0.00023661961313337088,7.098588394001126e-05,6.798907279968262,0.0003398953122086823,0.01000213623046875,8.0
DescribableTextures,25,0,0.3,0.3,keep,1,,7.849760546607042e-07,6.453721204934654e-05,1.9361163614803963e-05,2.3549281639821126e-07,0,1.770511197530084e-05,-1,0,0.0523681640625,0.00023599468113388866,7.07984043401666e-05,5.260429382324219,0.0003394934465177357,0.01000213623046875,8.0
DescribableTextures,25,1,0.3,0.3,negative_wait,1,,-6.986471149464862e-07,6.202270629608513e-05,1.860681188882554e-05,-2.0959413448394587e-07,2,1.2518919016748889e-05,-1,0,0.1431884765625,0.00023563159629702568,7.06894788891077e-05,5.468207359313965,0.0003391530190128833,0.01000213623046875,8.0
DescribableTextures,25,2,0.3,0.3,keep,1,,7.010153535170835e-07,3.5271698657135687e-05,1.0581509597140706e-05,2.1030460605512504e-07,0,1.9998469266111593e-05,-1,0,0.2232666015625,0.00023479115043301135,7.04373451299034e-05,9.599472045898438,0.00033858968527056277,0.01000213623046875,8.0
